1873,06,24,Tuesday,DWR_1873_06-53.jpg
HAPARANDA, 29.59, 55, 54, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.72, 49, 46, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 29.61, 61, 57, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 29.75, 50, 50, 59, 49, 0.00, NaN, NaN, NaN
WISBY, 29.78, 59, 59, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.89, 53, 51, NaN, NaN, NaN, 29.85, 58, 55
THURSO, 29.61, 51, 49, 60, 50, 0.04, 29.77, 999, 53
WICK, 29.66, 55, 53, 62, 45, 0.00, NaN, NaN, NaN
STORNOWAY, 29.49, 52, 51, 59, 50, 0.41, NaN, NaN, NaN
OXO, 29.88, 54, 53, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 29.92, 59, 54, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 29.74, 62, 57, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.53, 53, 52, 64, 49, 0.16, NaN, NaN, NaN
ABERDEEN, 29.75, 53, 52, 67, 49, 0.06, NaN, NaN, NaN
LEITH, 29.72, 58, 56, 65, 53, 0.02, NaN, NaN, NaN
ARDROSSAN, 29.72, 57, 56, 64, 54, 0.10, NaN, NaN, NaN
FANO, 30.11, 65, 59, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.74, 58, 57, 61, 55, -999.00, 30.01, 61, 55
SHIELDS, 29.85, 56, 53, 68, 53, 0.00, NaN, NaN, NaN
DONAGHADEE, 29.77, 57, 57, 67, 54, 0.09, NaN, NaN, NaN
SCARBOROUGH, 29.92, 56, 52, 67, 51, 0.00, 29.99, 66, 57
YORK, 30.00, 54, 52, 68, 44, 0.01, NaN, NaN, NaN
CUXHAVEN, 30.08, 60, 56, 999, 53, 0.06, NaN, NaN, NaN
LIVERPOOL, 29.94, 56, 54, 65, 49, 0.01, NaN, NaN, NaN
HOLYHEAD, 29.90, 56, 55, 63, 54, 0.02, 30.10, 60, 55
KINGSTOWN, 29.88, 62, 59, 64, 56, 0.02, NaN, NaN, NaN
HELDER, 30.09, 62, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.03, 59, 56, 76, 41, 0.00, NaN, NaN, NaN
YARMOUTH, 30.06, 60, 55, 67, 51, 0.00, NaN, NaN, NaN
CAMBRIDGE, 30.07, 63, 55, 76, 49, 0.00, NaN, NaN, NaN
VALENTIA, 30.01, 60, 58, 63, 56, 0.23, 30.04, 58, 57
ROCHESPOINT, 29.97, 60, 58, 64, 56, 0.32, NaN, NaN, NaN
OXFORD, 30.06, 60, 56, 70, 48, 0.00, NaN, NaN, NaN
PEMBROKE, 30.03, 56, 56, 63, 54, 0.07, NaN, NaN, NaN
LONDON, 30.09, 65, 58, 74, 49, 0.00, 30.08, 68, 61
PORTISHEAD, 30.05, 59, 58, 68, 51, 0.03, NaN, NaN, NaN
DOVER, 30.11, 62, 58, 69, 56, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 30.14, 57, 55, 66, 54, 0.00, NaN, NaN, NaN
BRUSSELS, 30.16, 62, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.12, 59, 56, 73, 56, 0.00, NaN, NaN, NaN
PLYMOUTH, 30.11, 61, 61, 69, 56, 0.12, NaN, NaN, NaN
SCILLY, 30.14, 60, 59, 65, 57, 0.02, 30.21, 64, 61
CHARLEVILLE, 30.17, 59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.20, 59, 59, 71, 53, 0.00, NaN, NaN, NaN
BREST, 30.20, 59, 59, 66, 55, 0.00, NaN, NaN, NaN
LORIENT, 30.25, 59, 59, 74, 57, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.29, 62, 57, 81, 57, 0.00, 30.21, 66, 62
LYONS, 30.25, 59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.31, 63, 61, 66, 61, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 999.00, 67, 62, 84, 65, 0.00, NaN, NaN, NaN
