1870,08,19,Friday,DWR_1870_08-36.jpg
HEARTSCONTENT, 29.93, 60, 0.38
CHRISTIANSUND, 999.00, 50, NaN
SKUDDESNAES, 29.71, 57, NaN
THURSO, 30.01, 55, 0.10
WICK, 30.00, 55, 0.00
OXO, 29.61, 53, NaN
NAIRN, 30.03, 53, 0.08
ABERDEEN, 29.95, 56, 0.01
LEITH, 29.96, 60, 0.10
ARDROSSAN, 30.04, 54, 0.04
GREENCASTLE, 30.08, 56, 0.00
SHIELDS, 29.87, 65, 0.27
SCARBOROUGH, 29.84, 54, 0.22
LIVERPOOL, 29.93, 54, 0.00
HOLYHEAD, 29.99, 50, 0.00
HELDER, 29.66, 57, NaN
YARMOUTH, 29.77, 56, 0.54
VALENTIA, 30.10, 62, 0.00
ROCHESPOINT, 30.03, 60, 0.00
PEMBROKE, 29.95, 58, 0.00
LONDON, 29.84, 57, 0.00
CAPECLEAR, 999.00, 999, 999.00
CAPGRISNEZ, 29.74, 58, 0.00
BRUSSELS, 29.67, 59, NaN
PORTSMOUTH, 29.82, 57, 0.08
PLYMOUTH, 29.90, 61, 0.00
PENZANCE, 29.97, 62, 0.00
PARIS, 999.00, 59, 0.00
STRASBOURG, 999.00, 999, NaN
BREST, 999.00, 58, 0.00
LORIENT, -999.00, 59, 0.00
ROCHEFORT, 29.80, 62, 0.00
LYONS, 29.72, 67, NaN
BIARRITZ, 29.76, 66, 0.20
CORUNNA, 29.85, 68, NaN
TOULON, 999.00, 999, 999.00
